Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,24500,2041.6667,1984,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,9800,653.3333,1984,
CAST,Stockton,38.116,-121.3954,9334,131.4648,1984,
NMRO,Roswell,33.397,-104.3983,7320,120.7921,1984,
TXSN,Stanton,32.0833,-101.7,6934,288.9167,1984,
CA23,Caswell-Westley,37.6333,-121.2,5115,134.6053,1984,
NMCA,Caballo,32.953,-107.3122,4000,95.2381,1984,
CACP,Carrizo Plain,35.25,-119.85,3431,74.587,1984,
TXFR,Freeport,29.0172,-95.3551,1546,4.5205,1984,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1500,10.3093,1984,
FLGA,Gainesville,29.6027,-82.3127,1411,9.4381,1984,
TXAR,Aransas N.W.R.,28.2333,-96.8833,836,21.4359,1984,
CALS,Los Baños,37.0612,-120.8849,828,8.3552,1984,
TXMI,Midland,31.95,-102.0333,787,15.4314,1984,
AZEL,Elfrida,31.6667,-109.6833,725,4.1667,1984,
AZPC,Parker-Colorado River,34.0833,-114.3833,618,8.766,1984,
CAPV,Peace Valley,39.1982,-121.8219,542,4.9498,1984,
TXVI,Victoria,28.8723,-97.0784,484,9.8776,1984,
CACO,Chico,39.722,-121.8238,470,8.3186,1984,
TX14,Laguna Atascosa N.W.R.,26.2333,-97.3833,465,7.623,1984,
TXCC,Corpus Christi,27.8334,-97.5833,444,6,1984,
TXLS,La Sal Vieja,26.4849,-97.9649,372,10.3333,1984,
TXBS,Big Spring,32.2391,-101.4162,356,8.2791,1984,
TXAM,Amarillo,34.9851,-101.7021,351,20.6471,1984,
TX1E,Padre Island National Seashore,27.3333,-97.3333,341,6.5577,1984,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,293,2.5702,1984,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,247,3.2078,1984,
TX09,Lake Thomas,32.5833,-101.1667,210,21,1984,
TXKI,Kingsville,27.4658,-97.8551,200,2.6918,1984,
FLKV,Kissimmee Valley,28.2062,-81.3936,196,2.5789,1984,
FLCO,Cocoa,28.3622,-80.7026,164,1.131,1984,
FLSR,Sarasota,27.2841,-82.4976,92,0.92,1984,
FLMR,Myakka River S.P.,27.233,-82.236,80,1.1111,1984,
TXCY,Cypress Creek,29.9561,-95.89,75,1.087,1984,
NMLV,Las Vegas,35.595,-105.2152,65,6.5,1984,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,62,2.2302,1984,
FLEC,Econlockhatchee,28.7094,-81.1467,60,0.6667,1984,
ORSI,Sauvie Island,45.7562,-122.8008,55,0.5641,1984,
CARB,Red Bluff,40.2074,-122.2117,50,0.9091,1984,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,49,0.4336,1984,
FLLW,Lake Wales,27.8939,-81.5189,43,0.4388,1984,
TXBA,Balmorhea,30.9858,-103.7459,34,1.0625,1984,
ALGS,Gulf Shores,30.3167,-87.6333,33,0.2225,1984,
TXPM,Palmetto S.P.,29.5833,-97.5833,28,0.2617,1984,
NMLA,Lakes Avalon-Brantley,32.5661,-104.294,28,1.2727,1984,
MSJC,Jackson County,30.4366,-88.7119,26,0.2955,1984,
FL13,New Port Richey,28.25,-82.7,25,0.3247,1984,
FLST,Stuart,27.2121,-80.2624,21,0.2079,1984,
TXWF,Wichita Falls,33.8877,-98.6298,20,0.6897,1984,
INNC,New Castle,39.9167,-85.3667,17,0.4116,1984,
KYDA,Danville,37.6463,-84.7733,15,0.2459,1984,
FL0V,South Brevard County,27.8667,-80.5667,14,0.2333,1984,
FLFP,Fort Pierce,27.4177,-80.3828,13,0.1806,1984,
FLWV,West Volusia County,29.0543,-81.3039,10,0.2174,1984,
FLVE,Venice-Englewood,27.0048,-82.3793,10,0.1389,1984,
TXDR,Del Rio,29.4651,-100.9585,10,0.2353,1984,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,9,0.0652,1984,
CAOR,Oroville,39.5178,-121.5499,9,0.1364,1984,
FLTA,Tampa,28.0107,-82.4595,8,0.0734,1984,
FL1B,Singing Forest,28.7833,-82.2833,7,0.0711,1984,
OHIL,Indian Lake,40.4833,-83.9167,6,0.75,1984,
FLBO,Brooksville,28.548,-82.3245,6,0.0759,1984,
TX0M,Lubbock County,33.55,-101.75,5,0.25,1984,
CASM,Sacramento,38.6,-121.55,5,0.0243,1984,
TX1G,Alice,27.7167,-98.1333,5,0.3846,1984,
FLNP,North Pinellas,28.0672,-82.7388,4,0.0408,1984,
AZPO,Portal,31.9009,-109.1364,4,0.0278,1984,
AZGR,Gila River,33.3071,-112.6833,4,0.0584,1984,
CAFR,Fall River Mills,41.0616,-121.4899,4,0.0755,1984,
TXCS,College Station,30.593,-96.3175,3,0.0345,1984,
NMAL,Albuquerque,35.1833,-106.6167,3,0.0503,1984,
FLBA,Bradenton,27.501,-82.5631,3,0.0429,1984,
FLLA,Lakeland,28.0261,-81.8507,3,0.0265,1984,
TX20,Armand Bayou,29.55,-95.0667,3,0.0182,1984,
TNNA,Nashville,36.0545,-86.9287,2,0.0163,1984,
MI0F,Marshall,42.35,-84.9833,2,0.0952,1984,
BCLA,Ladner,49.0538,-123.0573,2,0.0108,1984,
TXCR,Crawford,31.556,-97.3556,2,0.0318,1984,
TXGA,Galveston,29.3333,-94.8333,2,0.012,1984,
INJC,Johnson County,39.4103,-86.0668,1,0.012,1984,
AZRC,Ramsey Canyon,31.4599,-110.2068,1,0.0102,1984,
ILPM,Pere Marquette Park,38.9968,-90.6051,1,0.0172,1984,
BCCH,Chilliwack,49.1113,-121.9436,1,0.0149,1984,
TXRU,Ruidosa,29.95,-104.6667,1,0.0833,1984,
MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,1,0.0093,1984,
MOSL,Swan Lake N.W.R.,39.6742,-93.2241,cw,0,1984,
CA1G,Creighton Ranch Preserve,36.1167,-119.5333,cw,0,1984,
CA2F,Mount Shasta,41.4667,-122.35,cw,0,1984,
FLBC,Bay County,30.1851,-85.6719,cw,0,1984,
